"clunky";"неуклюжий";;;"What I didn’t like, however, was how c <b>clunky</b> they were.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2x1bmt5e5901117.mp3]";"What I didn’t like, however, was how c {{c1::clunky}} they were.";;"Слова из интернета"
"unintentionally";"непреднамеренно";;"ʌnɪntˈenʃənəli";"<br><br>5<br><br>Long frames are usually caused by forced synchronous layouts, which is when you ( <b>unintentionally</b> ) force a layout operation to happen early.";"[sound:https://audiocdn.lingualeo.com/v2/1/dW5pbnRlbnRpb25hbGx51f64bf61.mp3]";"<br><br>5<br><br>Long frames are usually caused by forced synchronous layouts, which is when you ( {{c1::unintentionally}} ) force a layout operation to happen early.";;"Слова из интернета"
"consequences";"последствия";;"ˈkɑnsəˌkwɛnsəz";"<br>export c.<br><br><br>While circular dependencies may not directly result in bugs (they certainly can), they will almost always have unintended  <b>consequences</b> .";"[sound:https://audiocdn.lingualeo.com/v2/1/Y29uc2VxdWVuY2Vzd67aa586.mp3]";"<br>export c.<br><br><br>While circular dependencies may not directly result in bugs (they certainly can), they will almost always have unintended  {{c1::consequences}} .";;"Слова из интернета"
"unintended";"непреднамеренный";;"ʌnɪntˈendɪd";"<br>export c.<br><br><br>While circular dependencies may not directly result in bugs (they certainly can), they will almost always have  <b>unintended</b>  consequences.";"[sound:https://audiocdn.lingualeo.com/v2/1/dW5pbnRlbmRlZA==ceccb7bb.mp3]";"<br>export c.<br><br><br>While circular dependencies may not directly result in bugs (they certainly can), they will almost always have  {{c1::unintended}}  consequences.";;"Слова из интернета"
"curl up";"свернуться калачиком";;"kˈɜːl ʌp";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/Y3VybCB1cA==82ebad30.mp3]";"text";;"Слова из интернета"
"moisture";"влага";;"ˈmɔɪsʧər";"The clay was coold and beaded with  <b>moisture</b> .";"[sound:https://audiocdn.lingualeo.com/v2/1/bW9pc3R1cmU=aaca18b6.mp3]";"The clay was coold and beaded with  {{c1::moisture}} .";;"Слова из интернета"
"thrust";"толкнуть";;"θrˈʌst";"A gaoler  <b>thrust</b>  a jug at him.";"[sound:https://audiocdn.lingualeo.com/v2/1/dGhydXN0730b4f61.mp3]";"A gaoler  {{c1::thrust}}  a jug at him.";;"Слова из интернета"
"gaoler";"тюремщик";;;"A  <b>gaoler</b>  thrust a jug at him.";"[sound:https://audiocdn.lingualeo.com/v2/1/Z2FvbGVyc20a361d.mp3]";"A  {{c1::gaoler}}  thrust a jug at him.";;"Слова из интернета"
"feverish";"лихорадочный";;"ˈfiːvərɪʃ";"Ned was  <b>feverish</b>  by then, his leg a dull agony, his ilips parched and cracked.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZmV2ZXJpc2g=51e50c6a.mp3]";"Ned was  {{c1::feverish}}  by then, his leg a dull agony, his ilips parched and cracked.";;"Слова из интернета"
"stank";"вонь. вонять";;"stˈæŋk";""" EDDARD The straw on the floor  <b>stank</b>  of urine.";"[sound:https://audiocdn.lingualeo.com/v2/1/c3Rhbms=1a2422a7.mp3]";""" EDDARD The straw on the floor  {{c1::stank}}  of urine.";;"Мой словарь"
"slop bucket";"помойное ведро";;"slˈɒp ˈbʌkɪt";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/c2xvcCBidWNrZXQ=6f629e72.mp3]";"text";;"Слова из интернета"
"perceive";"заметить";;"pəsˈiːv";"Choose the right answers<br>Men can find it difficult to  <b>perceive</b>    <br>two colours.";"[sound:https://audiocdn.lingualeo.com/v2/1/cGVyY2VpdmU=4efa49e6.mp3]";"Choose the right answers<br>Men can find it difficult to  {{c1::perceive}}    <br>two colours.";;"Слова из интернета"
"плавать";"sail";;;"<br>I like to go swimming, <br> Sheila likes to  sail .";"[sound:https://audiocdn.lingualeo.com/v2/1/0L/Qu9Cw0LLQsNGC0Yw=31004bfd.mp3]";"<br>I like to go swimming, <br> Sheila likes to  sail .";;"Слова из интернета"
"roughest";"грубейший";;"rˈʌfɪst";"Change grammar form if it's necessary<br>This cream makes even the  <b>roughest</b>  hands silky <br> .";"[sound:https://audiocdn.lingualeo.com/v2/1/cm91Z2hlc3Q=90f63e59.mp3]";"Change grammar form if it's necessary<br>This cream makes even the  {{c1::roughest}}  hands silky <br> .";;"Слова из интернета"
"conventional";"обычный";;"kənˈvɛnʃənəl";"Which speaker has the most  <b>conventional</b>  view about men doing the cooking?";"[sound:https://audiocdn.lingualeo.com/v2/1/Y29udmVudGlvbmFs152c4129.mp3]";"Which speaker has the most  {{c1::conventional}}  view about men doing the cooking?";;"Слова из интернета"
